Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2010","2010","1000 t","2031","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2011","2011","1000 t","2050","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2012","2012","1000 t","1897","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2013","2013","1000 t","1774","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2014","2014","1000 t","1940","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2015","2015","1000 t","2064","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2016","2016","1000 t","2059","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2017","2017","1000 t","2080","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2018","2018","1000 t","2215","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2019","2019","1000 t","2056","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2020","2020","1000 t","2079","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2021","2021","1000 t","2165","I","Imputed value",""
"FBS","Food Balances (2010-)","616","Poland","5142","Food","S2733","Pigmeat","2022","2022","1000 t","2059","I","Imputed value",""
