year	expenses	income	cpi	
2002	10088	2239.56	0.8%	
2003	10508	2314.66	3.5%	
2004	11355	2409.69	2.1%	
2005	11353	2506.93	1.0%	
2006	12182	2636.81	2.5%	
2007	13529	2866.04	4.2%	
2008	14814	3158.48	3.5%	
2009	15275	3315.38	2.6%	
2010	15395	3435	4.3%	
2011	16771	3625.21	3.7%	
2012	17543	3744.38	0.9%	
2013	17808	3877.43	0.0%	
2014	18315	4003.99	-0.9%	
2015	18775	4150.86	-0.6%	
2016	19647	4290.52	2.0%	
2017	21088	4527.89	1.6%	
2018	22442	4834.76	2.3%	
2019	23906	5181.63	3.4%	
2020	23329	5523.32	5.1%	
2021	26324	6001.02	14.4%	
2022	31340	6705.62	11.4%	
2023	33310	7595.3	3.6%	
